role,permission(action),description
Global Administrator,microsoft.directory/tenantManagement/tenants/create,"Create new tenants in Microsoft Entra ID"
Global Administrator,microsoft.directory/users/allProperties/allTasks,"Create and delete users, and read and update all properties"
Global Administrator,microsoft.directory/users/authenticationMethods/basic/update,"Update basic properties of authentication methods for users"
Global Administrator,microsoft.directory/users/authenticationMethods/create,"Update authentication methods for users"
Global Administrator,microsoft.directory/users/authenticationMethods/delete,"Delete authentication methods for users"
Global Administrator,microsoft.directory/users/authenticationMethods/standard/read,"Read standard properties of authentication methods for users"
Global Administrator,microsoft.directory/users/convertExternalToInternalMemberUser,"Convert external user to internal user"
Global Administrator,microsoft.directory/verifiableCredentials/configuration/allProperties/read,"Read configuration required to create and manage verifiable credentials"
Global Administrator,microsoft.directory/verifiableCredentials/configuration/allProperties/update,"Update configuration required to create and manage verifiable credentials"
Global Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/allProperties/read,"Read a verifiable credential contract"
Global Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/allProperties/update,"Update a verifiable credential contract"
Global Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/cards/allProperties/read,"Read a verifiable credential card"
Global Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/cards/revoke,"Revoke a verifiable credential card"
Global Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/create,"Create a verifiable credential contract"
Global Administrator,microsoft.directory/verifiableCredentials/configuration/create,"Create configuration required to create and manage verifiable credentials"
Global Administrator,microsoft.directory/verifiableCredentials/configuration/delete,"Delete configuration required to create and manage verifiable credentials and delete all of its verifiable credentials"
Global Administrator,microsoft.dynamics365/allEntities/allTasks,"Manage all aspects of Dynamics 365"
Global Administrator,microsoft.edge/allEntities/allProperties/allTasks,"Manage all aspects of Microsoft Edge"
Global Administrator,microsoft.flow/allEntities/allTasks,"Manage all aspects of Microsoft Power Automate"
Global Administrator,microsoft.graph.dataConnect/allEntities/allProperties/allTasks,"Manage aspects of Microsoft Graph Data Connect"
Global Administrator,microsoft.hardware.support/shippingAddress/allProperties/allTasks,"Create, read, update, and delete shipping addresses for Microsoft hardware warranty claims, including shipping addresses created by others"
Global Administrator,microsoft.hardware.support/shippingStatus/allProperties/read,"Read shipping status for open Microsoft hardware warranty claims"
Global Administrator,microsoft.hardware.support/warrantyClaims/allProperties/allTasks,"Create and manage all aspects of Microsoft hardware warranty claims"
Global Administrator,microsoft.insights/allEntities/allProperties/allTasks,"Manage all aspects of Insights app"
Global Administrator,microsoft.intune/allEntities/allTasks,"Manage all aspects of Microsoft Intune"
Global Administrator,microsoft.microsoft365.organizationalData/allEntities/allProperties/allTasks,"Manage all aspects of organizational data in Microsoft 365"
Global Administrator,microsoft.networkAccess/allEntities/allProperties/allTasks,"Manage all aspects of Microsoft Entra Network Access"
Global Administrator,microsoft.networkAccess/trafficLogs/standard/read,"Read standard properties of traffic logs such as DeviceId, DestinationIp and PolicyRuleId"
Global Administrator,microsoft.office365.complianceManager/allEntities/allTasks,"Manage all aspects of Office 365 Compliance Manager"
Global Administrator,microsoft.office365.copilot/allEntities/allProperties/allTasks,"Create and manage all settings for Microsoft 365 Copilot"
Global Administrator,microsoft.office365.desktopAnalytics/allEntities/allTasks,"Manage all aspects of Desktop Analytics"
Global Administrator,microsoft.office365.exchange/allEntities/basic/allTasks,"Manage all aspects of Exchange Online"
Global Administrator,microsoft.office365.fileStorageContainers/allEntities/allProperties/allTasks,"Manage all aspects of SharePoint Embedded containers"
Global Administrator,microsoft.office365.knowledge/contentUnderstanding/allProperties/allTasks,"Read and update all properties of content understanding in Microsoft 365 admin center"
Global Administrator,microsoft.office365.knowledge/contentUnderstanding/analytics/allProperties/read,"Read analytics reports of content understanding in Microsoft 365 admin center"
Global Administrator,microsoft.office365.knowledge/knowledgeNetwork/allProperties/allTasks,"Read and update all properties of knowledge network in Microsoft 365 admin center"
Global Administrator,microsoft.office365.knowledge/knowledgeNetwork/topicVisibility/allProperties/allTasks,"Manage topic visibility of knowledge network in Microsoft 365 admin center"
Global Administrator,microsoft.office365.knowledge/learningSources/allProperties/allTasks,"Manage learning sources and all their properties in Learning App."
Global Administrator,microsoft.office365.lockbox/allEntities/allTasks,"Manage all aspects of Customer Lockbox"
Global Administrator,microsoft.office365.messageCenter/messages/read,"Read messages in Message Center in the Microsoft 365 admin center, excluding security messages"
Global Administrator,microsoft.office365.messageCenter/securityMessages/read,"Read security messages in Message Center in the Microsoft 365 admin center"
Global Administrator,microsoft.office365.migrations/allEntities/allProperties/allTasks,"Manage all aspects of Microsoft 365 migrations"
Global Administrator,microsoft.office365.network/performance/allProperties/read,"Read all network performance properties in the Microsoft 365 admin center"
Global Administrator,microsoft.office365.organizationalMessages/allEntities/allProperties/allTasks,"Manage all authoring aspects of Microsoft 365 Organizational Messages"
Global Administrator,microsoft.office365.protectionCenter/allEntities/allProperties/allTasks,"Manage all aspects of the Security and Compliance centers"
Global Administrator,microsoft.office365.search/content/manage,"Create and delete content, and read and update all properties in Microsoft Search"
Global Administrator,microsoft.office365.securityComplianceCenter/allEntities/allTasks,"Create and delete all resources, and read and update standard properties in the Microsoft 365 Security and Compliance Center"
Global Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Global Administrator,microsoft.office365.sharePoint/allEntities/allTasks,"Create and delete all resources, and read and update standard properties in SharePoint"
Global Administrator,microsoft.office365.skypeForBusiness/allEntities/allTasks,"Manage all aspects of Skype for Business Online"
Global Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Global Administrator,microsoft.office365.usageReports/allEntities/allProperties/read,"Read Office 365 usage reports"
